,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Thumbnail,Comment ID,Profile URL,Comment URL,Is_Toxic
11,siva_gopi_nayak_07,,39170039534,3/24/2025 13:11,0,😂😂😂,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485838821_1623625888274837_7378345698038911763_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=_tbVRkCWeHoQ7kNvgEqZhKe&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFpr57fdXuCxDSGDCFe5zNzXVDX_FeVx-fK5J-i10c5XQ&oe=67E75C0C&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/siva_gopi_nayak_07,https://www.instagram.com/p/DHfABrTz7Y0/c/17967936764734431,no
12,mr_shiva_murali,,62836991075,3/24/2025 13:13,0,తప్పు నాది బ్రో ఇన్స్టాల్ లోకి వచ్చినందుకు నా చెప్పుతో నన్ను కొట్టుకోవాలి ఛీ దీనమ్మ జీవితం ఇలాంటి చేసే కదా డిలీట్ చేయడం బెస్ట్ ఆప్షన్ గురు ఎక్కడ దొరికారు రా మీరంతా,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485086246_1583307975703850_1933076323425728677_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=Tc8UcC5TuhMQ7kNvgFgnMSE&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGDWMUhnGGSBtVo3v2rKUI9Ah_q0uFHAkrBBWMuvCX5vQ&oe=67E738DD&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/mr_shiva_murali,https://www.instagram.com/p/DHfABrTz7Y0/c/17997911993771768,no
13,lovely_s_a_n_t_h_u,,57341689569,3/24/2025 13:15,0,Amma Bangaru thali chupiche odhesham neku una chuse udhesham maku le amma😢,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/463113875_1455600001777844_3333323128367213059_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=MDIV32kJGNYQ7kNvgE-zIp1&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGpwrJvpH8sAmwxTDvKW9wdMdTa6wRZr5t5zYzPTlNAeQ&oe=67E752B3&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/lovely_s_a_n_t_h_u,https://www.instagram.com/p/DHfABrTz7Y0/c/17998270742606537,no
14,vsrilakshmi9421,,69568689715,3/24/2025 13:16,0,Rendu pilakalu vesukunna pillalni evaru absurve chesaru 😂😂😂😂,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/473040440_9439326869445238_3258576104490791708_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=Mbp5tp_VrCMQ7kNvgEut3gB&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYF_ry_DChHkyotyAval6Z8rmflLeNV5JJqlV1N9hSvh3A&oe=67E734CD&_nc_sid=0985b0,1.85E+16,https://www.instagram.com/vsrilakshmi9421,https://www.instagram.com/p/DHfABrTz7Y0/c/18495242557033689,no
15,gorrelasatishk,,65108086410,3/24/2025 13:17,0,@pradeep_thalapaneni send me bro,no,https://instagram.fadb1-2.fna.fbcdn.net/v/t51.2885-19/464760996_1254146839119862_3605321457742435801_n.png?stp=dst-jpg_e0_s150x150_tt6&cb=8577c754-c2464923&_nc_ad=z-m&_nc_ht=instagram.fadb1-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHbwCtd3JorflTBi2MqIbCkwhqZ5qNr04-OKJ7InYgfSQ-D7V6G8CbOS9-8UmfhBUw&_nc_ohc=atf3_6cl7W8Q7kNvgEr6uQk&_nc_gid=Wd_McKHLj3fGrHg46tkPwQ&edm=AEsR1pMBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5-cb8577c754-c2464923&oh=00_AYFWOjkFfJ_-JE77WGzU0B6Q8aAWA19M7IdcopnOMTnmJA&oe=67E76368&_nc_sid=e2f88a,1.81E+16,https://www.instagram.com/gorrelasatishk,https://www.instagram.com/p/DHfABrTz7Y0/c/18110007511479781,no
16,5516nitya,,72317144564,3/24/2025 13:18,0,కొజ్జా నువ్వు,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485092773_9128945047210119_2903949273915688786_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=6ikVK9OUzSMQ7kNvgG7DgvQ&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEaCXt_u53pRbElrC6zxyf_vSaGOUj5WS3987rSyYsIXA&oe=67E730CC&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/5516nitya,https://www.instagram.com/p/DHfABrTz7Y0/c/17926841241020928,yes
17,fan_of_the_lard_karna,,13347076636,3/24/2025 13:19,0,Meru yentha toucher chesina nenu instagram delete cheyanu 🙏,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/419290203_1428147991116957_2750579331295102687_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=3w1jyvN__UQQ7kNvgHF22HZ&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYF2-wmgzhhT2-cKi1AVBPG262oGeWTDcO9t1trPunCz9w&oe=67E73748&_nc_sid=0985b0,1.85E+16,https://www.instagram.com/fan_of_the_lard_karna,https://www.instagram.com/p/DHfABrTz7Y0/c/18493032133039988,no
18,adhi.srikanth_naidu,,44766340271,3/24/2025 13:21,0,నువ్వు చేసే దరిద్రపు వీడియో చిన్నపిల్లలతో చూపిస్తున్నావ్ పక్కనున్న నీడలో పడుతుంది రా చూడరా ఎర్రి పూక,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/448880434_1197935441380429_2514202988476189808_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=yqey6sFFtT8Q7kNvgFbn3eq&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHy5sTHm8U2uXQbmacPPBsC6y1KonCaBcdq7MVzty5qvQ&oe=67E7440D&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/adhi.srikanth_naidu,https://www.instagram.com/p/DHfABrTz7Y0/c/17901642348148995,yes
19,idiott._.11,,51416222644,3/24/2025 13:23,0,Take care bro vattakaya tegipodhi😂😂😂😂😂,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/484273677_2148814542205059_2402742895901653039_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=JJ4BwmQzqbUQ7kNvgG3nVyj&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYF92zr663CVsOtTrmwHHCWi46wsI_mGDOX1k_UsF_G9oQ&oe=67E74235&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/idiott._.11,https://www.instagram.com/p/DHfABrTz7Y0/c/18091269661602620,yes
20,chotu_uvardhan25,,71630631017,3/24/2025 13:26,0,Nee name chusinappude vadhilesindaali bro insta,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/472939969_430898969989395_7158035658441368554_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=eF5_9XxzPeEQ7kNvgFA50Nf&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHhgEZoXlwANWKxcEiEBGQS5BoAcdfcgjHzs1FDPd2idA&oe=67E75BDD&_nc_sid=0985b0,1.84E+16,https://www.instagram.com/chotu_uvardhan25,https://www.instagram.com/p/DHfABrTz7Y0/c/18361941562193538,no
21,___call__me__prassu___,,68647207911,3/24/2025 13:32,0,Madda kuduvu ve langa maurulo gaja stambam kanabadataleadhu ni kadha udemo chudu,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/475970538_1533711600918175_7393236709294920649_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=YxULXqRP7TkQ7kNvgGyexoA&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHZtQFZpxl6YB-eNB0lwcj5GR72xvylr0jiHDIs2fHHXw&oe=67E75608&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/___call__me__prassu___,https://www.instagram.com/p/DHfABrTz7Y0/c/18052402682236664,yes
22,__decent_boy__suri__rider_,,48443299107,3/24/2025 13:32,0,@ravuri_vasu 🤣🤣🤣🤣,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/475462307_646920627735584_4518589749877202475_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=tteQfnGKOP8Q7kNvgHnhguh&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGdaby2ZRRmb_uN_PgTB98VhMEwid1BmVAvMWNnUAY_jg&oe=67E7574D&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/__decent_boy__suri__rider_,https://www.instagram.com/p/DHfABrTz7Y0/c/18044277029381835,no
23,venkateshvenky3576,,56611771364,3/24/2025 13:34,0,Bro❌🙏,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/481314162_1637789320465237_4939639380901081039_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=uwtogVeFqtUQ7kNvgExep6j&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYF-WPZ8iR-5URa53CYtAuerjBGEBjnzQ6DgK4jZg2eX0w&oe=67E76472&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/venkateshvenky3576,https://www.instagram.com/p/DHfABrTz7Y0/c/18106701469493059,no
24,5627sidhu,,70987313616,3/24/2025 13:34,0,Are PUka udaharan,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/482906236_913860120658853_6818806300200134062_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=Wgv0-9nv69gQ7kNvgF_LS3q&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH1ibqH1pP7t-zq3nLCPZKCuKp2vqysj6LkQs-Lb7NsVw&oe=67E76454&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/5627sidhu,https://www.instagram.com/p/DHfABrTz7Y0/c/17943969677843335,yes
25,pappakanaveenkumar,,62216835311,3/24/2025 13:37,0,ఏమి రా .5 గా కొత్త డ్రయరా ని డ్రాయర్ లో నా మడ్ద e లాంటి vedio లు పెట్టి నన్ను అలా అన్నారు ఇలా అన్నారు అంటే ఎట్లా ఏ నా లాంజా,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/463335155_1203019681007261_7800425818803570862_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=S2Venrk87noQ7kNvgGrtu8s&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFdMSnIgG7MwBHjYIgPpw7Ut7Wh3fRLqzYAD1trgYL9mg&oe=67E73CF5&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/pappakanaveenkumar,https://www.instagram.com/p/DHfABrTz7Y0/c/17875595766200174,yes
26,habib.sk_1509,,54195969980,3/24/2025 13:37,0,@apple_5____ 😂🤣,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/482875659_1786875365442222_2466589468819982659_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=GSvt43ajdEAQ7kNvgF7H2-e&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGiXSssXQQUDOZcFyRf-q2xEmV8mbELL_oXQDshR4a69w&oe=67E7372B&_nc_sid=0985b0,1.82E+16,https://www.instagram.com/habib.sk_1509,https://www.instagram.com/p/DHfABrTz7Y0/c/18172377328323885,no
27,girlworldhappiest,,73295563413,3/24/2025 13:37,0,Vachindhandi  vayyariii 😃😃😃😃,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485588457_1601931883815796_8935549251199721976_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=QoXeZKJI5ZMQ7kNvgHG9NC1&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFI_eyMiXs3h5Y8XK0wr4iebIJPFXKW4y8lFUZolYeC5Q&oe=67E761A7&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/girlworldhappiest,https://www.instagram.com/p/DHfABrTz7Y0/c/18037009190548099,no
28,pramaraju9,,55578537506,3/24/2025 13:38,0,🙏,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485210535_1163842941905276_29721912842796166_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=N46KWzkJ1M8Q7kNvgHJOKZ7&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGVFjKGLnGFbugeUO-NnGz22c8JgW8_LuxpII2JS8JBvg&oe=67E760D2&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/pramaraju9,https://www.instagram.com/p/DHfABrTz7Y0/c/18040488272607571,no
